property_id,location,property_type,size_sqft,num_bedrooms,num_bathrooms,floor_number,total_floors,age_years,furnishing,amenities,distance_to_metro_km,view_score,date_listed,price
1,Delhi NCR,Villa,2636,1,3,28,18,25,Fully Furnished,"pool,lift,garden",1.36,4,01-01-2020,51687000
2,Chennai,Apartment,3461,4,4,17,7,7,Semi-Furnished,lift,7.7,4,02-01-2020,46438000
3,Pune,Penthouse,1783,5,2,6,25,4,Unfurnished,"gym,parking,clubhouse,security,lift,pool",1.75,5,03-01-2020,23251000
4,Chennai,Villa,833,4,1,15,16,1,Fully Furnished,"parking,security,clubhouse,lift,pool,garden,gym",4.8,2,04-01-2020,13036000
5,Bangalore,Apartment,2139,3,3,5,6,17,Fully Furnished,"gym,pool,lift",4.67,2,05-01-2020,35756000
6,Hyderabad,Apartment,549,1,2,1,37,14,Fully Furnished,"clubhouse,lift,parking,security,garden,pool",0.95,1,06-01-2020,8748000
7,Chennai,Apartment,4533,1,1,7,17,18,Semi-Furnished,"garden,lift,pool",5.71,5,07-01-2020,59315000
8,Hyderabad,Apartment,2397,2,3,20,26,18,Semi-Furnished,"security,parking",0.95,3,08-01-2020,24420000
9,Bangalore,Penthouse,2003,1,4,29,15,20,Unfurnished,"garden,parking",7.03,5,09-01-2020,31620000
10,Bangalore,Apartment,773,4,2,17,7,15,Fully Furnished,"lift,garden,parking,security,clubhouse,pool",5.94,3,10-01-2020,15812000
11,Mumbai,Apartment,705,3,2,20,15,5,Fully Furnished,"lift,clubhouse,pool,gym,security,parking,garden",3.13,3,11-01-2020,20297000
12,Bangalore,Apartment,4992,4,2,8,9,11,Unfurnished,"parking,clubhouse,lift,security",7.82,1,12-01-2020,83777000
13,Bangalore,Penthouse,3177,4,4,1,19,0,Unfurnished,"clubhouse,pool",7.58,3,13-01-2020,51365000
14,Mumbai,Apartment,3076,2,4,10,27,12,Unfurnished,"security,pool,clubhouse",0.33,4,14-01-2020,81320000
15,Mumbai,Apartment,4475,2,2,28,27,27,Unfurnished,parking,2.15,3,15-01-2020,114085000
16,Bangalore,Apartment,3008,4,4,8,32,29,Unfurnished,"security,lift,parking,clubhouse,garden,gym",2.66,2,16-01-2020,57292000
17,Hyderabad,Studio,4179,2,4,3,39,19,Fully Furnished,"parking,gym",7.4,4,17-01-2020,44911000
18,Delhi NCR,Apartment,3194,3,2,26,32,27,Fully Furnished,"pool,lift,security,garden,parking",1.66,3,18-01-2020,64261000
